year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
2015,ME,Maine,1329453,1726,23,337,461,311,931,24361,4694,18853,814
2015,MI,Michigan,9917715,41712,585,4782,6710,7818,26599,191191,40375,132019,18797
2015,MN,Minnesota,5482435,13319,133,1679,2321,3771,7094,121984,19299,94704,7981
2015,MO,Missouri,6076204,30292,503,1858,2573,6383,20833,173788,34029,122749,17010
2015,MS,Mississippi,2989390,8190,253,851,1158,2312,4467,85785,25068,56446,4271
2015,MT,Montana,1032073,3647,38,405,572,210,2827,27276,3887,20966,2423
2015,NC,North Carolina,10035186,34734,517,1886,2591,8821,22805,275915,74760,187732,13423
2015,ND,North Dakota,756835,1949,21,285,391,159,1378,17716,3296,12686,1734
2015,NE,Nebraska,1893765,5167,62,648,885,994,3226,42597,6443,32148,4006
2015,NH,New Hampshire,1330111,2692,15,468,644,475,1558,23453,3482,19076,895
2015,NJ,New Jersey,8935421,22879,363,1019,1373,9729,11414,145701,27960,105963,11778
2015,NM,New Mexico,2080328,13672,117,1218,1663,2485,9407,77212,17084,51485,8643
2015,NV,Nevada,2883758,20118,178,1232,1688,6287,11965,77137,22360,43426,11351
2015,NY,New York,19747183,75126,613,4414,6141,23879,44493,317225,44117,257837,15271
2015,OH,Ohio,11605090,34373,522,3990,5441,12617,15793,303743,69994,216354,17395
2015,OK,Oklahoma,3907414,16746,240,1418,1953,3018,11535,114055,28783,74678,10594
2015,OR,Oregon,4024634,10680,110,1193,1650,2163,6757,119752,18541,90514,10697
2015,PA,Pennsylvania,12791904,40348,665,3105,4299,12965,22419,231941,39573,180236,12132
2015,RI,Rhode Island,1055607,2565,31,342,467,547,1520,20038,3938,14714,1386
2015,SC,South Carolina,4894834,24448,407,1717,2439,3950,17652,162830,34942,114778,13110
2015,SD,South Dakota,857919,3302,33,367,500,215,2554,16739,2969,12576,1194
